Respondent,Hobby,OpenSource,Student,Employment,FormalEducation,UndergradMajor,CompanySize,YearsCoding,YearsCodingProf,JobSatisfaction,ConvertedSalary,NumberMonitors,CheckInCode,WakeTime,HoursComputer,HoursOutside,SkipMeals,Exercise,Age
161,Yes,No,No,Employed full-time,Md,Ae,8,6,6,0,94000,2,2,4,2,2,0,1,4
162,No,No,No,Employed full-time,Md,Cd,3,5,4,2,,3,5,5,2,1,1,1,4
163,Yes,Yes,No,Employed full-time,Md,Cd,4,4,2,3,140800,3,3,2,3,0,1,0,3
164,Yes,Yes,No,Employed full-time,Bd,In,6,4,3,1,69000,3,5,4,3,2,1,1,3
165,Yes,No,No,Employed full-time,Md,Ar,8,3,2,-3,95000,1,5,3,2,2,0,1,3
166,Yes,Yes,No,Employed full-time,Nd,No,3,6,4,1,78000,2,5,3,3,1,0,0,3
167,Yes,No,No,Employed full-time,Bd,In,5,3,2,-2,90000,,,3,3,1,1,1,
168,Yes,Yes,No,Employed full-time,Bd,Cd,8,4,3,3,130000,3,3,5,4,1,1,1,4
169,Yes,Yes,No,Employed full-time,Bd,We,8,5,2,0,65000,3,5,4,3,1,0,1,3
170,Yes,No,No,Employed full-time,Bd,Cd,2,4,2,2,95000,3,5,2,3,1,0,3,3
171,Yes,No,No,Employed full-time,Md,Cd,7,6,3,2,112000,2,5,4,3,0,0,0,3
172,Yes,No,"Yes, part-time",Employed part-time,Nd,Cd,2,6,4,-2,15000,1,5,3,2,1,0,2,3
173,Yes,Yes,No,Employed full-time,Nd,Cd,4,6,6,1,110000,3,5,5,3,1,1,1,4
174,Yes,Yes,"Yes, full-time",Employed part-time,Nd,Ma,3,3,1,0,10000,1,2,3,2,1,0,2,2
175,Yes,Yes,No,Employed full-time,Nd,Cd,2,2,2,2,43500,3,5,3,3,0,0,3,3
176,Yes,No,No,Employed part-time,Sd,,3,1,,,20857,1,,6,0,3,0,2,2
177,No,No,No,Employed full-time,Bd,Ae,2,2,2,-2,65000,3,5,3,2,0,0,0,3
178,No,No,No,Employed full-time,Bd,Cd,1,5,3,0,,2,3,1,3,1,3,3,3
179,Yes,No,No,Employed full-time,Bd,Hu,8,11,11,1,154000,2,5,3,2,2,0,2,6
180,Yes,No,No,Employed part-time,Md,Cd,1,2,2,-2,,2,3,3,3,3,0,2,4
181,Yes,No,No,Employed full-time,Bd,Ma,3,2,2,1,60000,1,3,3,3,2,0,1,3
182,Yes,Yes,No,Employed full-time,Nd,Ns,1,9,8,3,240000,3,5,4,2,2,1,1,4
183,Yes,No,No,Employed full-time,Md,Ae,8,11,11,3,160000,2,5,3,2,2,0,2,5
184,Yes,Yes,No,Employed full-time,Bd,In,8,3,3,3,143000,2,5,3,2,2,0,1,3
185,Yes,Yes,No,Employed full-time,Nd,Hu,3,8,8,0,130000,2,5,5,3,2,1,1,4
186,Yes,No,No,Employed full-time,Bd,Cd,8,11,11,2,130000,2,5,1,3,1,0,3,6
187,Yes,No,"Yes, full-time",Employed part-time,Md,Cd,3,3,2,3,20000,2,3,5,2,3,1,2,3
188,Yes,No,No,Employed full-time,Bd,Ss,6,1,1,2,70000,3,5,3,3,0,1,2,3
189,Yes,Yes,No,Employed full-time,Md,Hu,6,4,3,3,120000,2,3,2,3,1,0,1,4
190,Yes,Yes,No,Employed full-time,Bd,Cd,3,3,2,1,60000,3,5,3,3,1,0,3,
191,Yes,No,No,Employed full-time,Bd,Cd,7,2,1,1,64000,3,2,2,3,1,0,2,2
192,Yes,Yes,No,Employed full-time,Bd,Hu,1,1,1,3,74000,1,3,5,3,0,0,2,3
193,Yes,No,No,Employed full-time,Bd,Cd,3,3,2,0,68000,2,4,4,3,0,0,0,3
194,Yes,No,No,Employed full-time,Bd,Cd,4,4,2,3,1050000,3,5,5,3,0,3,0,3
195,Yes,No,"Yes, full-time",Employed full-time,Nd,Cd,3,2,2,2,40000,2,4,3,3,2,0,3,2
196,Yes,Yes,No,Employed full-time,Bd,,4,2,1,1,87000,,,,,,,,
197,Yes,Yes,No,Employed full-time,Bd,Cd,3,4,3,3,90000,2,5,4,2,1,0,1,4
198,Yes,No,No,Employed full-time,Bd,Bu,4,2,2,-1,54000,2,2,1,3,1,3,0,3
199,Yes,Yes,No,Employed full-time,Bd,Cd,4,6,5,2,135000,2,5,2,3,1,0,2,3
200,Yes,Yes,No,Employed full-time,Md,In,8,6,6,2,122000,2,5,5,3,2,0,0,3
201,Yes,No,No,Employed full-time,Bd,In,8,7,4,1,102000,1,5,2,4,2,0,2,3
202,Yes,No,No,Employed full-time,Bd,In,2,3,2,2,40000,2,0,4,3,1,1,0,
203,Yes,No,No,Employed full-time,Md,Ns,6,5,3,2,139000,3,5,4,3,1,1,1,4
204,Yes,Yes,No,Employed full-time,Md,Hu,8,7,5,2,130000,2,3,3,3,1,1,1,
205,Yes,Yes,No,Employed full-time,Nd,Bu,5,3,2,1,95000,4,5,5,3,2,1,1,3
206,No,No,No,Employed full-time,Bd,Bu,8,5,4,1,140000,2,5,6,2,2,1,0,3
207,Yes,No,No,Employed full-time,Bd,Cd,8,4,2,-1,80000,2,5,3,3,2,0,3,3
208,Yes,Yes,No,Employed full-time,Bd,Cd,4,2,2,2,75000,2,5,5,2,1,0,1,2
209,Yes,Yes,No,Employed full-time,Md,Cd,3,6,4,2,93000,2,4,3,3,0,0,0,3
210,Yes,Yes,No,Employed full-time,Bd,Cd,4,6,3,1,71000,3,4,4,3,2,1,1,3
211,Yes,Yes,No,Employed full-time,Bd,Cd,6,6,4,-1,160000,2,4,4,3,1,1,0,3
212,Yes,No,No,Employed full-time,Nd,Cd,4,5,4,3,110000,1,5,4,2,0,0,1,3
213,Yes,Yes,No,Employed full-time,Ad,In,4,6,5,3,68000,2,5,4,3,2,2,1,4
214,Yes,No,No,Employed full-time,Md,Cd,8,5,5,2,154000,2,5,1,3,2,0,0,3
